player_id,player,team,position,nineties,completed_passes,attempted_passes,completion_pct
5bc43860,Brenden Aaronson,USA,MF,0.8,,,
c88a28b9,Thelo Aasgaard,Norway,MF,1.0,,,
057d8f12,Hamza Abdelkarim,Egypt,FW,0.7,,,
accbfc94,Hossam Abdelmaguid,Egypt,DF,0.7,,,
bff15d74,Mohamed Abdelmonem,Egypt,DF,0.2,,,
ad7cdb35,Ali Abdi,Tunisia,DF,3.0,,,
caa254e4,Saud Abdulhamid,Saudi Arabia,DF,3.0,,,
03053fbf,Abdulla Abdullaev,Uzbekistan,DF,2.0,,,
13c8f40b,Yusuf Abdurisag,Qatar,FW,1.1,,,
300aaeb6,Husam Abu Dahab,Jordan,DF,2.0,,,
72c2fa7a,Mohammad Abu Hasheesh,Jordan,DF,0.1,,,
5c4bac6c,Mohannad Abu Taha,Jordan,DF,2.9,,,
4bff62e4,Mo Abualnadi,Jordan,DF,0.8,,,
5d11fc17,Yazeed Abulaila,Jordan,GK,3.0,,,
27e7e545,Mahmoud Abunada,Qatar,GK,3.0,,,
4dd2a0be,Elias Achouri,Tunisia,"FW,MF",0.5,,,
f2bf1b0f,Ché Adams,Scotland,FW,1.6,,,
259affab,Jayden Adams,South Africa,MF,1.3,,,
2b09d998,Tyler Adams,USA,MF,3.8,,,
a9ee5e81,Ricardo Adé,Haiti,DF,3.0,,,
4869216e,Ibrahim Adel,Egypt,MF,0.0,,,
4dcec659,Simon Adingra,Côte d'Ivoire,"FW,MF",0.2,,,
bdbf78cd,Jonas Adjetey,Ghana,DF,2.5,,,
f9c927de,Michel Aebischer,Switzerland,"MF,FW",1.7,,,
fd53d9e7,Akram Afif,Qatar,"FW,MF",2.6,,,
75f1ed80,Emmanuel Agbadou,Côte d'Ivoire,DF,3.0,,,
b5691f5d,Rodrigo Aguirre,Uruguay,FW,0.0,,,
540a5be1,Ali Ahmed,Canada,MF,2.6,,,
a62fa158,Homam Ahmed,Qatar,DF,1.4,,,
9b398aea,Rayan Aït-Nouri,Algeria,DF,3.2,,,
a8c0acb7,Kristoffer Ajer,Norway,DF,5.3,,,
89ac64a6,Manuel Akanji,Switzerland,DF,6.7,,,
eaeca114,Nathan Aké,Netherlands,DF,1.9,,,
1453e3cf,Yunus Akgün,Türkiye,MF,1.0,,,
b625b241,Maghnes Akliouche,France,MF,0.1,,,
f28659fb,Kerem Aktürkoğlu,Türkiye,FW,1.4,,,
74fbbb3c,Ahmed Alaaeldin,Qatar,FW,0.5,,,
05439de2,David Alaba,Austria,DF,3.1,,,
f3d9291e,Kerim Alajbegović,Bosnia–Herz,MF,3.1,,,
6e98c19f,Jordy Alcivar,Ecuador,MF,0.5,,,
bb08bce9,Omar Alderete,Paraguay,DF,3.6,,,
bae045a9,Almoez Ali,Qatar,FW,0.2,,,
b8a919ad,Hussein Ali,Iraq,DF,1.8,,,
f929049b,Mohanad Ali,Iraq,FW,0.1,,,
da4b8a4e,Taha Ali,Sweden,"FW,MF",0.4,,,
e53cbd7a,Khojiakbar Alijonov,Uzbekistan,MF,1.5,,,
488ee64c,Ali Alipour,IR Iran,FW,0.4,,,
7a2e46a8,Alisson,Brazil,GK,5.0,,,
27f33438,Thiago Almada,Argentina,MF,2.7,,,
862a1c15,Miguel Almirón,Paraguay,"MF,FW",3.1,,,
b18a3023,Júnior Alonso,Paraguay,DF,4.3,,,
414b2ce4,Barış Alper Yılmaz,Türkiye,"MF,FW",2.0,,,
ff871e14,Roberto Alvarado,Mexico,"FW,MF",4.8,,,
8b3ab7ad,Edson Álvarez,Mexico,"MF,DF",2.7,,,
15ab5a2b,Julián Álvarez,Argentina,FW,6.7,,,
c5a07a5e,Ayoube Amaimouni,Morocco,MF,0.2,,,
2ee5b0c9,Zeki Amdouni,Switzerland,"FW,MF",0.8,,,
